dataset,split,image_path,ex_path,he_path,ma_path,se_path,tjdr_ann_path
DDR,train,DDR-SEGMENTATION/train/image/007-4224-200.jpg,DDR-SEGMENTATION/train/label/EX/007-4224-200.tif,DDR-SEGMENTATION/train/label/HE/007-4224-200.tif,DDR-SEGMENTATION/train/label/MA/007-4224-200.tif,DDR-SEGMENTATION/train/label/SE/007-4224-200.tif,
DDR,train,DDR-SEGMENTATION/valid/image/007-5883-300.jpg,DDR-SEGMENTATION/valid/label/EX/007-5883-300.tif,DDR-SEGMENTATION/valid/label/HE/007-5883-300.tif,DDR-SEGMENTATION/valid/label/MA/007-5883-300.tif,DDR-SEGMENTATION/valid/label/SE/007-5883-300.tif,
DDR,train,DDR-SEGMENTATION/train/image/007-4568-200.jpg,DDR-SEGMENTATION/train/label/EX/007-4568-200.tif,DDR-SEGMENTATION/train/label/HE/007-4568-200.tif,DDR-SEGMENTATION/train/label/MA/007-4568-200.tif,DDR-SEGMENTATION/train/label/SE/007-4568-200.tif,
DDR,train,DDR-SEGMENTATION/train/image/007-3485-200.jpg,DDR-SEGMENTATION/train/label/EX/007-3485-200.tif,DDR-SEGMENTATION/train/label/HE/007-3485-200.tif,DDR-SEGMENTATION/train/label/MA/007-3485-200.tif,DDR-SEGMENTATION/train/label/SE/007-3485-200.tif,
TJDR,train,TJDR/train/image/TJDR_train_239.png,,,,,TJDR/train/annotation/TJDR_train_239.png
TJDR,train,TJDR/train/image/TJDR_train_317.png,,,,,TJDR/train/annotation/TJDR_train_317.png
TJDR,train,TJDR/train/image/TJDR_train_349.png,,,,,TJDR/train/annotation/TJDR_train_349.png
TJDR,train,TJDR/train/image/TJDR_train_202.png,,,,,TJDR/train/annotation/TJDR_train_202.png
TJDR,train,TJDR/train/image/TJDR_train_341.png,,,,,TJDR/train/annotation/TJDR_train_341.png
DDR,train,DDR-SEGMENTATION/valid/image/007-7176-400.jpg,DDR-SEGMENTATION/valid/label/EX/007-7176-400.tif,DDR-SEGMENTATION/valid/label/HE/007-7176-400.tif,DDR-SEGMENTATION/valid/label/MA/007-7176-400.tif,DDR-SEGMENTATION/valid/label/SE/007-7176-400.tif,
DDR,train,DDR-SEGMENTATION/train/image/007-3445-200.jpg,DDR-SEGMENTATION/train/label/EX/007-3445-200.tif,DDR-SEGMENTATION/train/label/HE/007-3445-200.tif,DDR-SEGMENTATION/train/label/MA/007-3445-200.tif,DDR-SEGMENTATION/train/label/SE/007-3445-200.tif,
DDR,train,DDR-SEGMENTATION/train/image/007-2769-100.jpg,DDR-SEGMENTATION/train/label/EX/007-2769-100.tif,DDR-SEGMENTATION/train/label/HE/007-2769-100.tif,DDR-SEGMENTATION/train/label/MA/007-2769-100.tif,DDR-SEGMENTATION/train/label/SE/007-2769-100.tif,
DDR,train,DDR-SEGMENTATION/train/image/007-2067-100.jpg,DDR-SEGMENTATION/train/label/EX/007-2067-100.tif,DDR-SEGMENTATION/train/label/HE/007-2067-100.tif,DDR-SEGMENTATION/train/label/MA/007-2067-100.tif,DDR-SEGMENTATION/train/label/SE/007-2067-100.tif,
DDR,train,DDR-SEGMENTATION/train/image/007-4585-200.jpg,DDR-SEGMENTATION/train/label/EX/007-4585-200.tif,DDR-SEGMENTATION/train/label/HE/007-4585-200.tif,DDR-SEGMENTATION/train/label/MA/007-4585-200.tif,DDR-SEGMENTATION/train/label/SE/007-4585-200.tif,
DDR,train,DDR-SEGMENTATION/train/image/007-5530-300.jpg,DDR-SEGMENTATION/train/label/EX/007-5530-300.tif,DDR-SEGMENTATION/train/label/HE/007-5530-300.tif,DDR-SEGMENTATION/train/label/MA/007-5530-300.tif,DDR-SEGMENTATION/train/label/SE/007-5530-300.tif,
IDRID,train,IDRID/Original_Images/train/IDRiD_25.jpg,IDRID/Segmentation_Groundtruths/train/3. Hard Exudates/IDRiD_25_EX.tif,IDRID/Segmentation_Groundtruths/train/2. Haemorrhages/IDRiD_25_HE.tif,IDRID/Segmentation_Groundtruths/train/1. Microaneurysms/IDRiD_25_MA.tif,IDRID/Segmentation_Groundtruths/train/4. Soft Exudates/IDRiD_25_SE.tif,
TJDR,train,TJDR/train/image/TJDR_train_198.png,,,,,TJDR/train/annotation/TJDR_train_198.png
DDR,train,DDR-SEGMENTATION/train/image/007-3553-200.jpg,DDR-SEGMENTATION/train/label/EX/007-3553-200.tif,DDR-SEGMENTATION/train/label/HE/007-3553-200.tif,DDR-SEGMENTATION/train/label/MA/007-3553-200.tif,DDR-SEGMENTATION/train/label/SE/007-3553-200.tif,
DDR,train,DDR-SEGMENTATION/train/image/007-2297-100.jpg,DDR-SEGMENTATION/train/label/EX/007-2297-100.tif,DDR-SEGMENTATION/train/label/HE/007-2297-100.tif,DDR-SEGMENTATION/train/label/MA/007-2297-100.tif,DDR-SEGMENTATION/train/label/SE/007-2297-100.tif,
TJDR,train,TJDR/train/image/TJDR_train_139.png,,,,,TJDR/train/annotation/TJDR_train_139.png
DDR,train,DDR-SEGMENTATION/train/image/007-2079-100.jpg,DDR-SEGMENTATION/train/label/EX/007-2079-100.tif,DDR-SEGMENTATION/train/label/HE/007-2079-100.tif,DDR-SEGMENTATION/train/label/MA/007-2079-100.tif,DDR-SEGMENTATION/train/label/SE/007-2079-100.tif,
TJDR,train,TJDR/train/image/TJDR_train_056.png,,,,,TJDR/train/annotation/TJDR_train_056.png
TJDR,train,TJDR/train/image/TJDR_train_242.png,,,,,TJDR/train/annotation/TJDR_train_242.png
DDR,train,DDR-SEGMENTATION/train/image/007-3416-200.jpg,DDR-SEGMENTATION/train/label/EX/007-3416-200.tif,DDR-SEGMENTATION/train/label/HE/007-3416-200.tif,DDR-SEGMENTATION/train/label/MA/007-3416-200.tif,DDR-SEGMENTATION/train/label/SE/007-3416-200.tif,
DDR,train,DDR-SEGMENTATION/train/image/007-2365-100.jpg,DDR-SEGMENTATION/train/label/EX/007-2365-100.tif,DDR-SEGMENTATION/train/label/HE/007-2365-100.tif,DDR-SEGMENTATION/train/label/MA/007-2365-100.tif,DDR-SEGMENTATION/train/label/SE/007-2365-100.tif,
DDR,train,DDR-SEGMENTATION/valid/image/007-5797-300.jpg,DDR-SEGMENTATION/valid/label/EX/007-5797-300.tif,DDR-SEGMENTATION/valid/label/HE/007-5797-300.tif,DDR-SEGMENTATION/valid/label/MA/007-5797-300.tif,DDR-SEGMENTATION/valid/label/SE/007-5797-300.tif,
TJDR,train,TJDR/train/image/TJDR_train_051.png,,,,,TJDR/train/annotation/TJDR_train_051.png
TJDR,train,TJDR/train/image/TJDR_train_443.png,,,,,TJDR/train/annotation/TJDR_train_443.png
DDR,train,DDR-SEGMENTATION/train/image/007-3571-200.jpg,DDR-SEGMENTATION/train/label/EX/007-3571-200.tif,DDR-SEGMENTATION/train/label/HE/007-3571-200.tif,DDR-SEGMENTATION/train/label/MA/007-3571-200.tif,DDR-SEGMENTATION/train/label/SE/007-3571-200.tif,
TJDR,train,TJDR/train/image/TJDR_train_248.png,,,,,TJDR/train/annotation/TJDR_train_248.png
TJDR,train,TJDR/train/image/TJDR_train_243.png,,,,,TJDR/train/annotation/TJDR_train_243.png
TJDR,train,TJDR/train/image/TJDR_train_367.png,,,,,TJDR/train/annotation/TJDR_train_367.png
TJDR,train,TJDR/train/image/TJDR_train_188.png,,,,,TJDR/train/annotation/TJDR_train_188.png
TJDR,train,TJDR/train/image/TJDR_train_392.png,,,,,TJDR/train/annotation/TJDR_train_392.png
DDR,train,DDR-SEGMENTATION/valid/image/007-3040-100.jpg,DDR-SEGMENTATION/valid/label/EX/007-3040-100.tif,DDR-SEGMENTATION/valid/label/HE/007-3040-100.tif,DDR-SEGMENTATION/valid/label/MA/007-3040-100.tif,DDR-SEGMENTATION/valid/label/SE/007-3040-100.tif,
DDR,train,DDR-SEGMENTATION/train/image/007-2155-100.jpg,DDR-SEGMENTATION/train/label/EX/007-2155-100.tif,DDR-SEGMENTATION/train/label/HE/007-2155-100.tif,DDR-SEGMENTATION/train/label/MA/007-2155-100.tif,DDR-SEGMENTATION/train/label/SE/007-2155-100.tif,
TJDR,train,TJDR/train/image/TJDR_train_436.png,,,,,TJDR/train/annotation/TJDR_train_436.png
DDR,train,DDR-SEGMENTATION/train/image/007-4319-200.jpg,DDR-SEGMENTATION/train/label/EX/007-4319-200.tif,DDR-SEGMENTATION/train/label/HE/007-4319-200.tif,DDR-SEGMENTATION/train/label/MA/007-4319-200.tif,DDR-SEGMENTATION/train/label/SE/007-4319-200.tif,
DDR,train,DDR-SEGMENTATION/valid/image/20170505100939670.jpg,DDR-SEGMENTATION/valid/label/EX/20170505100939670.tif,DDR-SEGMENTATION/valid/label/HE/20170505100939670.tif,DDR-SEGMENTATION/valid/label/MA/20170505100939670.tif,DDR-SEGMENTATION/valid/label/SE/20170505100939670.tif,
DDR,train,DDR-SEGMENTATION/valid/image/20170502000228274.jpg,DDR-SEGMENTATION/valid/label/EX/20170502000228274.tif,DDR-SEGMENTATION/valid/label/HE/20170502000228274.tif,DDR-SEGMENTATION/valid/label/MA/20170502000228274.tif,DDR-SEGMENTATION/valid/label/SE/20170502000228274.tif,
TJDR,train,TJDR/train/image/TJDR_train_038.png,,,,,TJDR/train/annotation/TJDR_train_038.png
DDR,train,DDR-SEGMENTATION/valid/image/007-5882-300.jpg,DDR-SEGMENTATION/valid/label/EX/007-5882-300.tif,DDR-SEGMENTATION/valid/label/HE/007-5882-300.tif,DDR-SEGMENTATION/valid/label/MA/007-5882-300.tif,DDR-SEGMENTATION/valid/label/SE/007-5882-300.tif,
IDRID,train,IDRID/Original_Images/train/IDRiD_32.jpg,IDRID/Segmentation_Groundtruths/train/3. Hard Exudates/IDRiD_32_EX.tif,IDRID/Segmentation_Groundtruths/train/2. Haemorrhages/IDRiD_32_HE.tif,IDRID/Segmentation_Groundtruths/train/1. Microaneurysms/IDRiD_32_MA.tif,IDRID/Segmentation_Groundtruths/train/4. Soft Exudates/IDRiD_32_SE.tif,
DDR,train,DDR-SEGMENTATION/valid/image/007-5851-300.jpg,DDR-SEGMENTATION/valid/label/EX/007-5851-300.tif,DDR-SEGMENTATION/valid/label/HE/007-5851-300.tif,DDR-SEGMENTATION/valid/label/MA/007-5851-300.tif,DDR-SEGMENTATION/valid/label/SE/007-5851-300.tif,
TJDR,train,TJDR/train/image/TJDR_train_079.png,,,,,TJDR/train/annotation/TJDR_train_079.png
DDR,train,DDR-SEGMENTATION/valid/image/007-2846-100.jpg,DDR-SEGMENTATION/valid/label/EX/007-2846-100.tif,DDR-SEGMENTATION/valid/label/HE/007-2846-100.tif,DDR-SEGMENTATION/valid/label/MA/007-2846-100.tif,DDR-SEGMENTATION/valid/label/SE/007-2846-100.tif,
DDR,train,DDR-SEGMENTATION/train/image/007-2378-100.jpg,DDR-SEGMENTATION/train/label/EX/007-2378-100.tif,DDR-SEGMENTATION/train/label/HE/007-2378-100.tif,DDR-SEGMENTATION/train/label/MA/007-2378-100.tif,DDR-SEGMENTATION/train/label/SE/007-2378-100.tif,
TJDR,train,TJDR/train/image/TJDR_train_406.png,,,,,TJDR/train/annotation/TJDR_train_406.png
TJDR,train,TJDR/train/image/TJDR_train_030.png,,,,,TJDR/train/annotation/TJDR_train_030.png
TJDR,train,TJDR/train/image/TJDR_train_277.png,,,,,TJDR/train/annotation/TJDR_train_277.png
TJDR,train,TJDR/train/image/TJDR_train_425.png,,,,,TJDR/train/annotation/TJDR_train_425.png
DDR,train,DDR-SEGMENTATION/valid/image/007-2983-100.jpg,DDR-SEGMENTATION/valid/label/EX/007-2983-100.tif,DDR-SEGMENTATION/valid/label/HE/007-2983-100.tif,DDR-SEGMENTATION/valid/label/MA/007-2983-100.tif,DDR-SEGMENTATION/valid/label/SE/007-2983-100.tif,
TJDR,train,TJDR/train/image/TJDR_train_281.png,,,,,TJDR/train/annotation/TJDR_train_281.png
DDR,train,DDR-SEGMENTATION/train/image/007-1909-100.jpg,DDR-SEGMENTATION/train/label/EX/007-1909-100.tif,DDR-SEGMENTATION/train/label/HE/007-1909-100.tif,DDR-SEGMENTATION/train/label/MA/007-1909-100.tif,DDR-SEGMENTATION/train/label/SE/007-1909-100.tif,
TJDR,train,TJDR/train/image/TJDR_train_063.png,,,,,TJDR/train/annotation/TJDR_train_063.png
TJDR,train,TJDR/train/image/TJDR_train_210.png,,,,,TJDR/train/annotation/TJDR_train_210.png
DDR,train,DDR-SEGMENTATION/train/image/007-2343-100.jpg,DDR-SEGMENTATION/train/label/EX/007-2343-100.tif,DDR-SEGMENTATION/train/label/HE/007-2343-100.tif,DDR-SEGMENTATION/train/label/MA/007-2343-100.tif,DDR-SEGMENTATION/train/label/SE/007-2343-100.tif,
TJDR,train,TJDR/train/image/TJDR_train_183.png,,,,,TJDR/train/annotation/TJDR_train_183.png
DDR,train,DDR-SEGMENTATION/valid/image/20170503090730862.jpg,DDR-SEGMENTATION/valid/label/EX/20170503090730862.tif,DDR-SEGMENTATION/valid/label/HE/20170503090730862.tif,DDR-SEGMENTATION/valid/label/MA/20170503090730862.tif,DDR-SEGMENTATION/valid/label/SE/20170503090730862.tif,
TJDR,train,TJDR/train/image/TJDR_train_042.png,,,,,TJDR/train/annotation/TJDR_train_042.png
DDR,train,DDR-SEGMENTATION/train/image/007-2763-100.jpg,DDR-SEGMENTATION/train/label/EX/007-2763-100.tif,DDR-SEGMENTATION/train/label/HE/007-2763-100.tif,DDR-SEGMENTATION/train/label/MA/007-2763-100.tif,DDR-SEGMENTATION/train/label/SE/007-2763-100.tif,
DDR,train,DDR-SEGMENTATION/train/image/007-2401-100.jpg,DDR-SEGMENTATION/train/label/EX/007-2401-100.tif,DDR-SEGMENTATION/train/label/HE/007-2401-100.tif,DDR-SEGMENTATION/train/label/MA/007-2401-100.tif,DDR-SEGMENTATION/train/label/SE/007-2401-100.tif,
TJDR,train,TJDR/train/image/TJDR_train_379.png,,,,,TJDR/train/annotation/TJDR_train_379.png
DDR,train,DDR-SEGMENTATION/train/image/007-5285-300.jpg,DDR-SEGMENTATION/train/label/EX/007-5285-300.tif,DDR-SEGMENTATION/train/label/HE/007-5285-300.tif,DDR-SEGMENTATION/train/label/MA/007-5285-300.tif,DDR-SEGMENTATION/train/label/SE/007-5285-300.tif,
DDR,train,DDR-SEGMENTATION/train/image/007-4571-200.jpg,DDR-SEGMENTATION/train/label/EX/007-4571-200.tif,DDR-SEGMENTATION/train/label/HE/007-4571-200.tif,DDR-SEGMENTATION/train/label/MA/007-4571-200.tif,DDR-SEGMENTATION/train/label/SE/007-4571-200.tif,
TJDR,train,TJDR/train/image/TJDR_train_024.png,,,,,TJDR/train/annotation/TJDR_train_024.png
TJDR,train,TJDR/train/image/TJDR_train_044.png,,,,,TJDR/train/annotation/TJDR_train_044.png
TJDR,train,TJDR/train/image/TJDR_train_295.png,,,,,TJDR/train/annotation/TJDR_train_295.png
DDR,train,DDR-SEGMENTATION/train/image/007-2574-100.jpg,DDR-SEGMENTATION/train/label/EX/007-2574-100.tif,DDR-SEGMENTATION/train/label/HE/007-2574-100.tif,DDR-SEGMENTATION/train/label/MA/007-2574-100.tif,DDR-SEGMENTATION/train/label/SE/007-2574-100.tif,
DDR,train,DDR-SEGMENTATION/train/image/007-2788-100.jpg,DDR-SEGMENTATION/train/label/EX/007-2788-100.tif,DDR-SEGMENTATION/train/label/HE/007-2788-100.tif,DDR-SEGMENTATION/train/label/MA/007-2788-100.tif,DDR-SEGMENTATION/train/label/SE/007-2788-100.tif,
TJDR,train,TJDR/train/image/TJDR_train_071.png,,,,,TJDR/train/annotation/TJDR_train_071.png
TJDR,train,TJDR/train/image/TJDR_train_197.png,,,,,TJDR/train/annotation/TJDR_train_197.png
TJDR,train,TJDR/train/image/TJDR_train_228.png,,,,,TJDR/train/annotation/TJDR_train_228.png
DDR,train,DDR-SEGMENTATION/train/image/007-4107-200.jpg,DDR-SEGMENTATION/train/label/EX/007-4107-200.tif,DDR-SEGMENTATION/train/label/HE/007-4107-200.tif,DDR-SEGMENTATION/train/label/MA/007-4107-200.tif,DDR-SEGMENTATION/train/label/SE/007-4107-200.tif,
IDRID,train,IDRID/Original_Images/train/IDRiD_46.jpg,IDRID/Segmentation_Groundtruths/train/3. Hard Exudates/IDRiD_46_EX.tif,IDRID/Segmentation_Groundtruths/train/2. Haemorrhages/IDRiD_46_HE.tif,IDRID/Segmentation_Groundtruths/train/1. Microaneurysms/IDRiD_46_MA.tif,IDRID/Segmentation_Groundtruths/train/4. Soft Exudates/IDRiD_46_SE.tif,
TJDR,train,TJDR/train/image/TJDR_train_034.png,,,,,TJDR/train/annotation/TJDR_train_034.png
TJDR,train,TJDR/train/image/TJDR_train_040.png,,,,,TJDR/train/annotation/TJDR_train_040.png
DDR,train,DDR-SEGMENTATION/train/image/007-2127-100.jpg,DDR-SEGMENTATION/train/label/EX/007-2127-100.tif,DDR-SEGMENTATION/train/label/HE/007-2127-100.tif,DDR-SEGMENTATION/train/label/MA/007-2127-100.tif,DDR-SEGMENTATION/train/label/SE/007-2127-100.tif,
DDR,train,DDR-SEGMENTATION/train/image/007-1782-100.jpg,DDR-SEGMENTATION/train/label/EX/007-1782-100.tif,DDR-SEGMENTATION/train/label/HE/007-1782-100.tif,DDR-SEGMENTATION/train/label/MA/007-1782-100.tif,DDR-SEGMENTATION/train/label/SE/007-1782-100.tif,
DDR,train,DDR-SEGMENTATION/valid/image/20170502160732595.jpg,DDR-SEGMENTATION/valid/label/EX/20170502160732595.tif,DDR-SEGMENTATION/valid/label/HE/20170502160732595.tif,DDR-SEGMENTATION/valid/label/MA/20170502160732595.tif,DDR-SEGMENTATION/valid/label/SE/20170502160732595.tif,
TJDR,train,TJDR/train/image/TJDR_train_256.png,,,,,TJDR/train/annotation/TJDR_train_256.png
DDR,train,DDR-SEGMENTATION/train/image/007-6590-400.jpg,DDR-SEGMENTATION/train/label/EX/007-6590-400.tif,DDR-SEGMENTATION/train/label/HE/007-6590-400.tif,DDR-SEGMENTATION/train/label/MA/007-6590-400.tif,DDR-SEGMENTATION/train/label/SE/007-6590-400.tif,
TJDR,train,TJDR/train/image/TJDR_train_065.png,,,,,TJDR/train/annotation/TJDR_train_065.png
TJDR,train,TJDR/train/image/TJDR_train_263.png,,,,,TJDR/train/annotation/TJDR_train_263.png
DDR,train,DDR-SEGMENTATION/train/image/007-4761-200.jpg,DDR-SEGMENTATION/train/label/EX/007-4761-200.tif,DDR-SEGMENTATION/train/label/HE/007-4761-200.tif,DDR-SEGMENTATION/train/label/MA/007-4761-200.tif,DDR-SEGMENTATION/train/label/SE/007-4761-200.tif,
DDR,train,DDR-SEGMENTATION/valid/image/007-5803-300.jpg,DDR-SEGMENTATION/valid/label/EX/007-5803-300.tif,DDR-SEGMENTATION/valid/label/HE/007-5803-300.tif,DDR-SEGMENTATION/valid/label/MA/007-5803-300.tif,DDR-SEGMENTATION/valid/label/SE/007-5803-300.tif,
DDR,train,DDR-SEGMENTATION/train/image/007-1894-100.jpg,DDR-SEGMENTATION/train/label/EX/007-1894-100.tif,DDR-SEGMENTATION/train/label/HE/007-1894-100.tif,DDR-SEGMENTATION/train/label/MA/007-1894-100.tif,DDR-SEGMENTATION/train/label/SE/007-1894-100.tif,
TJDR,train,TJDR/train/image/TJDR_train_254.png,,,,,TJDR/train/annotation/TJDR_train_254.png
TJDR,train,TJDR/train/image/TJDR_train_411.png,,,,,TJDR/train/annotation/TJDR_train_411.png
DDR,train,DDR-SEGMENTATION/valid/image/007-7019-400.jpg,DDR-SEGMENTATION/valid/label/EX/007-7019-400.tif,DDR-SEGMENTATION/valid/label/HE/007-7019-400.tif,DDR-SEGMENTATION/valid/label/MA/007-7019-400.tif,DDR-SEGMENTATION/valid/label/SE/007-7019-400.tif,
TJDR,train,TJDR/train/image/TJDR_train_293.png,,,,,TJDR/train/annotation/TJDR_train_293.png
TJDR,train,TJDR/train/image/TJDR_train_010.png,,,,,TJDR/train/annotation/TJDR_train_010.png
